facility_id,facility_name,facility_capacity
1795,"Edward C. Mazique Parent Child Center, Inc @ the Ruth E. Rucker Bld.",176
2584,Elisabeth Ngatchou/The Renaissance Center ,9
2844,Elizabeth Palomino CDX,9
2583,Elonda's Day Care ,12
2668,Elsa Gaiem,9
2592,Embassy Row Child Development Center,82
2040,Emergent Preparatory Academy,93
2791,Emergent Preparatory Academy III,50
2816,Emergent Preparatory Academy IV,56
2821,Emergent Preparatory Academy V,48
2734,"Erin Roxborough/Ms. Rox's Child Care, LLC",6
2175,Estrellitas Montessori School,107
2075,Euphemia L. Haynes Public Charter School ,239
2784,FAA/DOT Child Development Center,46
2249,Fabulous Kids Early Learning Child Care Center,7
2448,Fathema Johra,6
2690,Federal Home Loan  Bank Board Small Savers CDC,74
1768,Federal Trade Commission CDC,39
2126,Fingerprints Child Development Center,81
2767,First Choice Day Care,9
1927,First Rock Baptist Child Development Center,118
2740,Floricelda M. Avila De Alvarez,9
2047,Franklin Commons Intergenerational,46
1772,Friendship Children's Center # 1,31
1956,Friendship Children's Center # 2,44
2244,Friendship Public Charter School @ Armstrong Campus,175
2080,Friendship Public Charter School @ Blow Pierce Campus,175
1934,Friendship Public Charter School @ Chamberlain,200
2802,Friendship Public Charter School @ Ideal,18
2870,Friendship Public Charter School @ Ideal Kansas Avenue,100
1978,Friendship Public Charter School @ Milwaukee ,175
1933,Friendship Public Charter School @ Woodridge,200
2160,Future Leaders Academy @ YMCA Anthony Bowen,50
1794,Gan HaYeled @ Adas Israel Congregation,175
2210,Gap Community Childcare Center Inc.,117
2239,Gatari Child Development Center,36
2819,Gatari Child Development Center II,30
2818,Gatari Child Development Center III,44
2787,"Genesis One Kids, LLC",9
1799,Georgetown Law Early Learning Center,38
1838,Georgetown University Hoya Kids,60
1763,Georgetown Visitation Child Development Center ,14
2346,Gloria E. Green,6
2807,Glover Park KinderCare,71
2775,Growing Minds Together,9
1854,Growing Seeds Child Development Center,50
2111,Growth Spurts Child Learning Center @ D Street,16
2094,Growth Spurts Child Learning Center @ Judah,31
2606,Growth Spurts Child Learning Center @ Stoneridge ,40
2164,Guardian Angels Child Development And Learning Center,21
2873,Happy Faces Academy,88
1884,Happy Faces Early Learning Academy,145
2212,Happy Feet LLC,24
2612,Heydi M. Benavides,9
2877,HHS/ED Children 's Center by Reggio's Treehouse,52
1771,Hogan Lovells Emergency Child Care,32
1900,Home Away From Home,60
